user_id,movie_id,movie_name,actors,release_time,score,movie_type,duration,release_place,cumulative_box_office
400,186,新少林寺,刘德华 /谢霆锋 /范冰冰,2011/1/19,7.6,剧情 / 动作,130分钟,"中国大陆,中国香港",21247(万)
360,892,天机·富春山居图,刘德华 /佟大为 /张静初,2013/6/9,4.8,动作 / 冒险,120分钟,中国大陆,30030(万)
348,78041,北京遇上西雅图,吴秀波 /汤唯 /海清,2013/3/21,8.8,喜剧 / 爱情,123分钟,"中国大陆,中国香港",52013(万)
431,78198,狄仁杰之神都龙王,赵又廷 /冯绍峰 /林更新,2013/9/28,8.3,动作 / 悬疑 / 古装,134分钟,"中国大陆,中国香港",60059(万)
152,248327,霸王别姬(京剧),尚长荣 /史依弘 /傅希如,2015/12/5,8.3,戏曲 / 历史,102分钟,中国大陆,101(万)
397,300,钢的琴,王千源 /秦海璐 /张申英,2011/7/15,8.2,剧情 / 喜剧,107分钟,中国大陆,655(万)
469,79186,狂怒,布拉德·皮特 /希亚·拉博夫 /罗根·勒曼,2014/11/21,9.1,剧情 / 动作 / 战争,132分钟,"英国,中国大陆,美国",11896(万)
231,93,钱学森,陈坤 /张雨绮 /林永健,2012/3/2,暂无评分,传记,98分钟,中国大陆,765(万)
182,249019,蒙太奇,严正化 /宋永彰 /曹熙奉,2013/5/16,7.1,剧情 / 惊悚 / 犯罪,120分钟,韩国,暂无
433,246292,何以笙箫默,黄晓明 /杨幂 /佟大为,2015/4/30,5.4,爱情,107分钟,中国大陆,35290(万)
405,9044,风雨同路,周星驰 /周慧敏 /陈惠敏,1990/5/12,6.8,剧情 / 动作 / 犯罪,98分钟,中国香港,暂无
447,78906,我的男友和狗,何润东 /张钧甯 /里拉,2015/6/19,7.5,爱情,93分钟,中国大陆,2417(万)
210,247261,栀子花开,李易峰 /张慧雯 /蒋劲夫,2015/7/10,8.2,剧情 / 爱情,107分钟,中国大陆,37838(万)
370,79211,澳门风云2,周润发 /张家辉 /刘嘉玲,2015/2/19,8.7,喜剧 / 动作,110分钟,中国大陆,97263(万)
275,78650,黄金时代,汤唯 /冯绍峰 /王志文,2014/10/1,7.9,剧情 / 爱情 / 传记,178分钟,"中国大陆,中国香港",5128(万)
178,78403,狼图腾,草原狼 /冯绍峰 /窦骁,2015/2/19,8.3,剧情 / 冒险,116分钟,中国大陆,70075(万)
176,257360,新世界,崔岷植 /黄政民 /李政宰,2013/2/21,8.7,动作,134分钟,韩国,暂无
382,9533,薄荷糖,薛景求 /文素丽 /金汝珍,1999/10/14,8.2,剧情,130分钟,"韩国,日本",暂无
31,252,黄金大劫案,雷佳音 /陶虹 /程媛媛,2012/4/24,7.5,剧情,108分钟,中国大陆,15018(万)
194,227027,铁道游击队,冯奇 /曹会渠 /秦怡,1956/2/1,暂无评分,战争,88分钟,中国大陆,11(万)
480,78630,道士下山,王宝强 /郭富城 /张震,2015/7/2,6.6,喜剧 / 冒险 / 奇幻,123分钟,中国大陆,40009(万)
283,78672,催眠大师,徐峥 /莫文蔚 /吕中,2014/4/29,8.9,剧情 / 惊悚 / 悬疑,102分钟,中国大陆,27380(万)
68,78183,被偷走的那五年,白百何 /张孝全 /范玮琪,2013/8/29,8.1,爱情 / 剧情,111分钟,中国大陆,14952(万)
270,15457,请别相信她,姜栋元 /金荷娜 /宋在浩,2004/1/16,7,爱情,115分钟,韩国,暂无
144,361,上甘岭(4K),高保成 /刘磊 /徐林格,1956,暂无评分,剧情 / 战争,131分钟,中国大陆,暂无
319,931,窃听风云,刘青云 /古天乐 /吴彦祖,2009/7/24,8,剧情 / 动作 / 惊悚,100分钟,"中国香港,中国大陆,新加坡",8983(万)
313,246338,小羊肖恩,约翰·斯帕克斯 /贾斯汀·弗莱彻 /欧米德·吉亚李利,2015/7/17,9.2,喜剧 / 动画 / 冒险,85分钟,英国,5364(万)
331,78326,5月天诺亚方舟,陈信宏 /刘冠佑 /温尚翊,2013/9/19,9.4,剧情 / 纪录片 / 音乐,114分钟,中国台湾,2068(万)
315,341113,魔镜奇缘,琪琪 /王琪 /孙科,2015/9/3,6.1,动画 / 冒险 / 奇幻,83分钟,中国大陆,1597(万)
161,246067,十万个冷笑话,阿杰 /皇贞季 /宝木中阳,2014/12/31,8.1,动画 / 喜剧 / 奇幻,100分钟,中国大陆,11961(万)
262,739,白鹿原,张丰毅 /张雨绮 /段奕宏,2012/9/15,6.7,历史,156分钟,中国大陆,14184(万)
305,247711,我是证人,杨幂 /鹿晗 /王景春,2015/10/30,8.4,悬疑 / 犯罪 / 惊悚,111分钟,中国大陆,21479(万)
234,37033,蓝色情人节,瑞恩·高斯林 /米歇尔·威廉姆斯 /迈克尔·沃格尔,2010/1/24,8,剧情 / 爱情,112分钟,美国,暂无(万)
444,6479,暗战,刘德华 /刘青云 /蒙嘉慧,1999/9/23,8.7,剧情,92分钟,中国香港,暂无
451,248870,半夜叫你别回头,殷果儿 /郭云齐 /宋天湙,2015/10/30,4.6,惊悚 / 悬疑,90分钟,中国大陆,852(万)
399,78338,雪国列车,克里斯·埃文斯 /宋康昊 /蒂尔达·斯文顿,2014/3/17,8,动作 / 剧情 / 科幻,125分钟,"韩国,捷克,美国,法国",7477(万)
125,341051,百团大战,唐国强 /王伍福 /陶泽如,2015/8/28,8.5,战争 / 历史,110分钟,中国大陆,40972(万)
299,78827,帕丁顿熊,妮可·基德曼 /本·威士肖 /休·博纳维尔,2015/3/5,9,喜剧 / 动画 / 家庭,96分钟,英国,9969(万)
119,78302,前任攻略,韩庚 /姚星彤 /郑恺,2014/1/31,9,喜剧 / 爱情,108分钟,中国大陆,12953(万)
275,247161,山河故人,赵涛 /张译 /梁景东,2015/10/30,7.9,剧情 / 家庭,126分钟,中国大陆,3221(万)
62,246315,咱们结婚吧,高圆圆 /姜武 /李晨,2015/4/2,8.5,剧情 / 爱情,127分钟,中国大陆,28406(万)
479,25839,我的机器人女友,绫濑遥 /小出惠介 /蛭子能收,2009/7/28,8.3,科幻,120分钟,日本,110(万)
425,50601,金钱帝国,陈奕迅 /梁家辉 /黄秋生,2009/4/30,6,剧情,112分钟,"中国香港,中国大陆",1930(万)
414,245848,流感,张赫 /秀爱 /朴孝珠,2013/8/14,8.2,剧情 / 动作 / 冒险,121分钟,韩国,暂无
323,77192,警察故事2013,刘烨 /成龙 /景甜,2013/12/24,8,剧情 / 动作,108分钟,"中国大陆,中国香港",53406(万)
97,246439,少年班,孙红雷 /周冬雨 /董子健,2015/6/19,7.8,剧情 / 喜剧,106分钟,中国大陆,5061(万)
50,248366,年兽大作战,雷佳音 /周冬雨 /陈赫,2016/2/8,8.6,喜剧 / 动画 / 奇幻,97分钟,中国大陆,3442(万)
352,245876,重返20岁,杨子姗 /陈柏霖 /鹿晗,2015/1/8,9.2,喜剧 / 爱情 / 奇幻,132分钟,中国大陆,36499(万)
482,245964,床下有人2,殷果儿 /王钟超 /陈嘉敏,2014/8/22,4.8,悬疑 / 惊悚,88分钟,中国大陆,1478(万)
243,392,听风者,梁朝伟 /周迅 /王学兵,2012/8/7,7.8,剧情,120分钟,"中国大陆,中国香港",23207(万)
354,1034,太阳照常升起,姜文 /陈冲 /周韵,2007/9/14,7.1,剧情,116分钟,中国大陆,1701(万)
382,343761,神探夏洛克：可恶的新娘,本尼迪克特·康伯巴奇 /马丁·弗瑞曼 /尤娜·斯塔布斯,2016/1/4,7.6,剧情 / 悬疑 / 犯罪,115分钟,英国,16110(万)
176,679,夺宝联盟,全智贤 /金允石 /任达华,2013/1/15,7.9,动作 / 犯罪,123分钟,韩国,2219(万)
