广州天香生物科技有限公司	辽宁省丹东市振兴区浪头镇中央大道31-9	914401110589171106	广东省药品监督管理局	省药监局稽查l六处	2023-09-20	2020-12-07	
广州天香生物科技有限公司	深圳市宝安区福永街道塘尾社区永和路124号深圳同安药业有限公司物业D栋第二、第三层	914401110589171106	广东省药品监督管理局	深圳市市场监督管理局宝安监管局	2023-09-20	2020-12-07	
广州天香生物科技有限公司	深圳市龙华区福城街道桔塘社区新塘村1号金山龙工业园C栋401	914401110589171106	广东省药品监督管理局	深圳市市场监督管理局龙华监管局	2023-09-20	2020-12-07	
广州天香生物科技有限公司	佛山市南海区里水镇逢涌象台村夏西工业区34号2楼（住所申报）	914401110589171106	广东省药品监督管理局	佛山市市场监督管理局 南海区市场监督管理局	2023-09-20	2020-12-07	
广州天香生物科技有限公司	肇庆高新区文德四街1号之一（自编1号）	914401110589171106	广东省药品监督管理局	肇庆高新技术产业开发区食品药品监督管理局	2023-09-20	2020-12-07	
广州天香生物科技有限公司	哈尔滨市利民开发区北京路	914401110589171106	广东省药品监督管理局	黑龙江省药品监督管理局	2023-09-20	2020-12-07	
广州天香生物科技有限公司	重庆市巴南经济园区界石组团A区石桂大道厂房	914401110589171106	广东省药品监督管理局	重庆市药品监督管理局检查三局	2023-09-20	2020-12-07	
广州天香生物科技有限公司	成都市温江海峡两岸科技园科盛路5号（成都市温江区成都海峡两岸科技产业开发园科盛路5号）	914401110589171106	广东省药品监督管理局	四川省药品监督管理局	2023-09-20	2020-12-07	
四川隆力奇实业有限公司	广州市增城区荔新九路19号4栋一楼（含夹层）及三至五楼	91510112794939158Q	四川省药品监督管理局	增城区市场监督管理局	2021-08-18	2020-11-30	
四川隆力奇实业有限公司	成都经济技术开发区成龙大道三段1099号	91510112794939158Q	四川省药品监督管理局	四川省药品监督管理局	2021-08-18	2020-11-30	
四川隆力奇实业有限公司	广州市增城区新塘镇环保三路2号	91510112794939158Q	四川省药品监督管理局	增城区局新塘市场监管所	2021-08-18	2020-11-30	
四川隆力奇实业有限公司	辽宁省本溪市溪湖区石桥子春安街9-6栋	91510112794939158Q	四川省药品监督管理局	本溪市市场监督管理局	2021-08-18	2020-11-30	
四川隆力奇实业有限公司	常州市新北区薛家镇庆阳路70号2幢	91510112794939158Q	四川省药品监督管理局	江苏省药品监督管理局（常州检查分局）	2021-08-18	2020-11-30	
四川隆力奇实业有限公司	汕头市潮阳区和平镇凤善福兴路	91510112794939158Q	四川省药品监督管理局	汕头市潮阳区市场监督管理局	2021-08-18	2020-11-30	
四川隆力奇实业有限公司	汕头市澄海区凤翔外埔庵头	91510112794939158Q	四川省药品监督管理局	汕头市澄海区市场监督管理局	2021-08-18	2020-11-30	
广东领秀首美生物科技有限公司	广州市从化区广东从化经济开发区高技术产业园宝泰路10号7栋301室	91440607MA4W3RUN29	广东省药品监督管理局	从化区局太平市场监管所	2025-11-24	2020-11-25	
四川隆力奇实业有限公司	无锡市北塘区金山四支路11-1-12号	91510112794939158Q	四川省药品监督管理局	江苏省药品监督管理局（无锡检查分局）	2021-08-18	2020-11-30	
四川隆力奇实业有限公司	四平经济开发区一正路1号	91510112794939158Q	四川省药品监督管理局	四平市食品药品监督管理局	2021-08-18	2020-11-30	
东莞市互生美甲产品有限公司	江苏省南通市海门区临江新区天目湖路1号	91441900559103860G	广东省药品监督管理局	江苏省药品监督管理局南通检查分局	2021-07-24	2020-12-10	
东莞市互生美甲产品有限公司	广州市白云区钟落潭镇良园一路88号	91441900559103860G	广东省药品监督管理局	白云区局钟落潭市场监管所	2021-07-24	2020-12-10	
四川隆力奇实业有限公司	广州市白云区嘉禾长湴街263号	91510112794939158Q	四川省药品监督管理局	白云区局嘉禾市场监管所	2021-08-18	2020-11-30	
四川隆力奇实业有限公司	广州市花都区新华街镜湖大道富邦路3号	91510112794939158Q	四川省药品监督管理局	花都区局新雅市场监管所	2021-08-18	2020-11-30	
四川隆力奇实业有限公司	广州市白云区龙归街龙河西北横一路1号301房	91510112794939158Q	四川省药品监督管理局	白云区局太和市场监管所	2021-08-18	2020-11-30	
